"bin","profile","leads"
"0","F 30-34 YRS R5001 - R10000 exp_score_300_399 xds_score_0_499",1
"0","F 60-64 YRS R0 - R5000 exp_score_400_499 xdsgreater_than_801",1
"0","M 60-64 YRS R20001 + exp_score_400_499 xdsgreater_than_801",1
"0","M 60-64 YRS R5001 - R10000 exp_score_0_299 xds_score_0_499",1
"0","F 35-39 YRS R10001 - R20000 exp_score_0_299 xds_score_500_550",1
"0","M 60-64 YRS R5001 - R10000 exp_score_0_299 xds_score_551_600",1
"0","M 60-64 YRS R5001 - R10000 exp_score_0_299 xds_score_701_750",1
"0","F 35-39 YRS R10001 - R20000 exp_score_300_399 xds_score_551_600",1
"0","F 35-39 YRS R10001 - R20000 exp_score_300_399 xds_score_601_650",1
"0","F 55-59 YRS R20001 + exp_score_400_499 xdsgreater_than_801",1
"0","F 55-59 YRS R20001 + exp_score_0_299 xds_score_701_750",1
"0","F 55-59 YRS R20001 + exp_score_0_299 xds_score_651_700",1
"0","F 55-59 YRS R20001 + exp_score_0_299 xds_score_601_650",1
"0","M 65-69 YRS R0 - R5000 expgreater_than_600 xds_score_500_550",1
"0","F 55-59 YRS R10001 - R20000 exp_score_0_299 xds_score_701_750",1
"0","F 35-39 YRS R20001 + exp_score_0_299 xds_score_751_800",1
"0","M 65-69 YRS R0 - R5000 exp_score_0_299 xds_score_601_650",1
"0","M 65-69 YRS R0 - R5000 exp_score_400_499 xds_score_0_499",1
"0","M 65-69 YRS R0 - R5000 exp_score_400_499 xds_score_601_650",1
"0","M 65-69 YRS R0 - R5000 exp_score_500_599 xds_score_500_550",1
"0","F 55-59 YRS R0 - R5000 exp_score_400_499 xdsgreater_than_801",1
"0","M 65-69 YRS R10001 - R20000 expgreater_than_600 xds_score_500_550",1
"0","M 65-69 YRS R10001 - R20000 exp_score_400_499 xds_score_551_600",1
"0","F 35-39 YRS R5001 - R10000 exp_score_300_399 xds_score_500_550",1
"0","M 65-69 YRS R10001 - R20000 exp_score_500_599 xds_score_500_550",1
"0","M 65-69 YRS R20001 + expgreater_than_600 xds_score_551_600",1
"0","F 50-54 YRS R20001 + exp_score_0_299 xds_score_651_700",1
"0","F 50-54 YRS R20001 + exp_score_0_299 xds_score_601_650",1
"0","F 50-54 YRS R20001 + exp_score_0_299 xds_score_551_600",1
"0","F 50-54 YRS R20001 + exp_score_0_299 xdsgreater_than_801",1
"0","M 65-69 YRS R20001 + exp_score_400_499 xds_score_601_650",1
"0","M 65-69 YRS R20001 + exp_score_400_499 xds_score_651_700",1
